pattern,blur_sigma,noise_std,trial,seed,alignment,crop_offset,history,history_description,color_path,primary_quality,secondary_quality,primary_sampling,secondary_sampling,metric,score,primary_only_score,ratio_to_primary_only,uncompressed_same_crop_score,ratio_to_uncompressed_same_crop,calibration_threshold,expected_class,predicted_blurred
achromatic_checkerboard,0,0,2,20261303,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,2,20261303,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,laplacian_variance,23149.949951,23040.000000,1.004772,23040.000000,1.004772,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,tenengrad_energy,240687.237427,239616.000000,1.004471,239616.000000,1.004471,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,laplacian_variance,20568.959961,23040.000000,0.892750,23040.000000,0.892750,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,tenengrad_energy,251362.922363,239616.000000,1.049024,239616.000000,1.049024,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,3,20261304,aligned,0,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,3,20261304,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,laplacian_variance,23149.949951,23040.000000,1.004772,23040.000000,1.004772,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,grayscale,75,95,none,none,tenengrad_energy,240687.237427,239616.000000,1.004471,239616.000000,1.004471,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,laplacian_variance,20568.959961,23040.000000,0.892750,23040.000000,0.892750,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,grayscale,75,50,none,none,tenengrad_energy,251362.922363,239616.000000,1.049024,239616.000000,1.049024,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_444_to_q75_444,BGR JPEG quality 75 4:4:4 to quality 75 4:4:4,bgr,75,75,444,444,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_420_to_q75_420,BGR JPEG quality 75 4:2:0 to quality 75 4:2:0,bgr,75,75,420,420,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_444_to_q75_420,BGR JPEG quality 75 4:4:4 to quality 75 4:2:0,bgr,75,75,444,420,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,laplacian_variance,22180.500000,22180.500000,1.000000,22180.500000,1.000000,11110.691620,sharp,0
achromatic_checkerboard,0,0,4,20261305,aligned,0,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,tenengrad_energy,233802.000000,233802.000000,1.000000,233802.000000,1.000000,120388.619141,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,laplacian_variance,27019.532471,23040.000000,1.172723,23040.000000,1.172723,11540.792358,sharp,0
achromatic_checkerboard,0,0,4,20261305,shifted_4x4,4,color_q75_420_to_q75_444,BGR JPEG quality 75 4:2:0 to quality 75 4:4:4,bgr,75,75,420,444,tenengrad_energy,239256.080200,239616.000000,0.998498,239616.000000,0.998498,123193.868774,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,23370.063514,23370.063514,1.000000,24069.952210,0.970923,11110.691620,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,235962.767090,235962.767090,1.000000,235788.146027,1.000741,120388.619141,sharp,0
achromatic_checkerboard,0,15,0,20262301,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,laplacian_variance,27134.221878,24217.154827,1.120455,24909.688957,1.089304,11540.792358,sharp,0
achromatic_checkerboard,0,15,0,20262301,shifted_4x4,4,gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,grayscale,75,75,none,none,tenengrad_energy,242258.253235,241732.716705,1.002174,241557.371155,1.002902,123193.868774,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,23381.423415,24215.858918,0.965542,24069.952210,0.971395,11110.691620,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,236022.507294,235879.317047,1.000607,235788.146027,1.000994,120388.619141,sharp,0
achromatic_checkerboard,0,15,0,20262301,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,laplacian_variance,27022.869597,25055.834045,1.078506,24909.688957,1.084834,11540.792358,sharp,0
achromatic_checkerboard,0,15,0,20262301,shifted_4x4,4,gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,grayscale,95,75,none,none,tenengrad_energy,242264.731506,241644.108887,1.002568,241557.371155,1.002928,123193.868774,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,22506.344683,22497.001955,1.000415,24069.952210,0.935039,11110.691620,sharp,0
achromatic_checkerboard,0,15,0,20262301,aligned,0,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,tenengrad_energy,235259.799774,235205.454926,1.000231,235788.146027,0.997759,120388.619141,sharp,0
achromatic_checkerboard,0,15,0,20262301,shifted_4x4,4,gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,grayscale,50,75,none,none,laplacian_variance,27085.541311,23339.859296,1.160484,24909.688957,1.087350,11540.792358,sharp,0
